chr,acc,locus_tag,old_locus_tag,length_nt,start,end,strand,type,annotation
NC_013964.1,WP_004041272.1,HVO_RS01295,HVO_B0266,1308,317826,319133,-,protein_coding,glutamate dehydrogenase GdhB
NC_013967.1,WP_004044573.1,HVO_RS06390,HVO_0350,1260,318645,319904,+,protein_coding,DNA-directed RNA polymerase subunit A''
NC_013966.1,WP_004043221.1,HVO_RS03220,HVO_A0305,1470,319083,320552,-,protein_coding,CoA-acylating methylmalonate-semialdehyde dehydrogenase
NC_013964.1,WP_004041271.1,HVO_RS01300,HVO_B0267,1179,319160,320338,-,protein_coding,M24 family metallopeptidase
NC_013967.1,WP_004044572.1,HVO_RS06395,HVO_0351,420,319907,320326,+,protein_coding,NusA-like transcription termination signal-binding factor
NC_013967.1,WP_004044571.1,HVO_RS06400,HVO_0352,777,320381,321157,+,protein_coding,mechanosensitive ion channel
NC_013964.1,WP_004041270.1,HVO_RS01305,HVO_B0268,1023,320684,321706,+,protein_coding,LLM class flavin-dependent oxidoreductase
NC_013966.1,WP_004043222.1,HVO_RS03225,HVO_A0306,1338,320724,322061,+,protein_coding,aspartate aminotransferase family protein
NC_013967.1,WP_004044570.1,HVO_RS06405,HVO_0353,429,321385,321813,+,protein_coding,30S ribosomal protein S12
NC_013964.1,WP_004041269.1,HVO_RS01310,HVO_B0269,366,321763,322128,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044569.1,HVO_RS06410,HVO_0354,615,321816,322430,+,protein_coding,30S ribosomal protein S7
NC_013966.1,WP_004043223.1,HVO_RS03230,HVO_A0307,534,322110,322643,+,protein_coding,Lrp/AsnC family transcriptional regulator
NC_013964.1,WP_004041268.1,HVO_RS01315,HVO_B0270,1482,322163,323644,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044568.1,HVO_RS06415,HVO_0355,756,322539,323294,-,protein_coding,DUF5781 family protein
NC_013966.1,NA,HVO_RS03235,HVO_A0309,340,323165,323504,+,pseudogene,transposase
NC_013967.1,WP_004044567.1,HVO_RS06420,HVO_0356,2184,323485,325668,+,protein_coding,elongation factor EF-2
NC_013964.1,WP_013034984.1,HVO_RS20725,NA,729,323769,324497,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043225.1,HVO_RS03240,HVO_A0310,693,324116,324808,-,protein_coding,hypothetical protein
NC_013964.1,WP_161606674.1,HVO_RS21145,NA,204,324636,324839,-,protein_coding,helix-turn-helix domain-containing protein
NC_013964.1,NA,HVO_RS21150,NA,51,324901,324951,-,pseudogene,hypothetical protein
NC_013966.1,WP_004043226.1,HVO_RS03245,HVO_A0311,918,324918,325835,-,protein_coding,halocin C8-like domain-containing protein
NC_013964.1,NA,HVO_RS21155,NA,372,325131,325502,-,pseudogene,response regulator
NC_013964.1,WP_004041265.1,HVO_RS01330,HVO_B0273,1707,325629,327335,+,protein_coding,histidine kinase N-terminal 7TM domain-containing protein
NC_013967.1,WP_004044566.1,HVO_RS06425,HVO_0357,570,325966,326535,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043227.1,HVO_RS03250,HVO_A0312,795,326055,326849,+,protein_coding,MarR family transcriptional regulator
NC_013967.1,WP_004044565.1,HVO_RS06430,HVO_0358,954,326532,327485,+,protein_coding,homoserine dehydrogenase
NC_013966.1,WP_004043228.1,HVO_RS03255,HVO_A0313,201,326858,327058,-,protein_coding,helix-turn-helix transcriptional regulator
NC_013966.1,WP_171810344.1,HVO_RS03260,HVO_A0314,396,327064,327459,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041264.1,HVO_RS01335,HVO_B0274,366,327393,327758,+,protein_coding,hypothetical protein
NC_013966.1,WP_049914850.1,HVO_RS03265,HVO_A0315,231,327461,327691,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044564.1,HVO_RS06435,HVO_0359,1266,327676,328941,+,protein_coding,translation elongation factor EF-1 subunit alpha
NC_013964.1,WP_004041263.1,HVO_RS01340,HVO_B0275,399,327755,328153,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043231.1,HVO_RS03270,HVO_A0316,948,328146,329093,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041262.1,HVO_RS01345,HVO_B0276,972,328409,329380,-,protein_coding,DMT family transporter
NC_013967.1,WP_004044563.1,HVO_RS06440,HVO_0360,309,328944,329252,+,protein_coding,30S ribosomal protein S10
NC_013966.1,WP_004043232.1,HVO_RS03275,HVO_A0317,357,329316,329672,+,protein_coding,helix-turn-helix domain-containing protein
NC_013967.1,NA,HVO_RS06445,HVO_3020,72,329507,329578,+,tRNA,tRNA-Ala
NC_013964.1,WP_004041261.1,HVO_RS01350,HVO_B0277,789,329580,330368,+,protein_coding,DUF1724 domain-containing protein
NC_013966.1,WP_004043233.1,HVO_RS03280,HVO_A0318,324,329674,329997,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044562.1,HVO_RS06450,HVO_0362,603,329856,330458,+,protein_coding,hypothetical protein
NC_013966.1,WP_081442868.1,HVO_RS21220,NA,183,330240,330422,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041260.1,HVO_RS20730,HVO_B0278,162,330468,330629,-,protein_coding,hypothetical protein
NC_013966.1,WP_236995442.1,HVO_RS03285,HVO_A0320,768,330580,331347,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044561.1,HVO_RS06455,HVO_0364,453,330643,331095,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041259.1,HVO_RS01355,HVO_B0279,618,330697,331314,-,protein_coding,class I SAM-dependent methyltransferase
NC_013967.1,WP_004044560.1,HVO_RS20830,HVO_0363,141,331092,331232,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044559.1,HVO_RS06460,HVO_0365,201,331222,331422,-,protein_coding,hypothetical protein
NC_013967.1,WP_013035591.1,HVO_RS06465,HVO_0366,387,331415,331801,-,protein_coding,hypothetical protein
NC_013966.1,WP_236995443.1,HVO_RS03290,HVO_A0321,708,331609,332316,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041258.1,HVO_RS01360,HVO_B0280,201,331659,331859,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044557.1,HVO_RS06470,HVO_0367,423,331803,332225,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044556.1,HVO_RS06475,HVO_0368,567,332222,332788,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041257.1,HVO_RS01365,HVO_B0282,1251,332280,333530,+,protein_coding,MarR family transcriptional regulator
NC_013966.1,WP_004043236.1,HVO_RS03295,HVO_A0322,843,332463,333305,+,protein_coding,ABC transporter permease subunit
NC_013967.1,WP_004044555.1,HVO_RS20835,HVO_0369,156,332788,332943,-,protein_coding,hypothetical protein
NC_013967.1,WP_013035306.1,HVO_RS06480,HVO_0370,489,332943,333431,-,protein_coding,hypothetical protein
NC_013966.1,WP_004043237.1,HVO_RS03300,HVO_A0323,756,333302,334057,+,protein_coding,ABC transporter ATP-binding protein
NC_013967.1,WP_004044553.1,HVO_RS06485,HVO_0371,441,333431,333871,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041256.1,HVO_RS01370,HVO_B0283,774,333644,334417,+,protein_coding,helix-turn-helix domain-containing protein
NC_013967.1,WP_004044552.1,HVO_RS06490,HVO_0372,507,333882,334388,-,protein_coding,hypothetical protein
NC_013966.1,WP_004043238.1,HVO_RS03305,HVO_A0324,582,334054,334635,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044551.1,HVO_RS06495,HVO_0373,198,334392,334589,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041255.1,HVO_RS01375,HVO_B0284,303,334517,334819,+,protein_coding,stress response translation initiation inhibitor YciH
NC_013967.1,WP_004044550.1,HVO_RS06500,HVO_0374,183,334719,334901,+,protein_coding,hypothetical protein
NC_013967.1,WP_236995480.1,HVO_RS06505,HVO_0375,462,334898,335359,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041254.1,HVO_RS01380,HVO_B0285,1035,334990,336024,+,protein_coding,transcription initiation factor IIB 2
NC_013967.1,WP_004044548.1,HVO_RS06510,HVO_0376,441,335352,335792,+,protein_coding,hypothetical protein
NC_013966.1,WP_008605804.1,HVO_RS21225,HVO_A0325,495,335491,335985,-,protein_coding,fibronectin type III domain-containing protein
NC_013967.1,WP_004044547.1,HVO_RS06515,HVO_0377,615,335795,336409,+,protein_coding,ATP-binding protein
NC_013964.1,WP_004041253.1,HVO_RS01385,HVO_B0286,441,336166,336606,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044546.1,HVO_RS06520,HVO_0378,225,336406,336630,+,protein_coding,hypothetical protein
NC_013966.1,WP_013035125.1,HVO_RS03315,HVO_A0326,2055,336439,338493,-,protein_coding,beta-galactosidase
NC_013964.1,WP_004041252.1,HVO_RS01390,HVO_B0287,519,336700,337218,-,protein_coding,TRAM domain-containing protein
NC_013967.1,WP_004044545.1,HVO_RS06525,HVO_0379,585,337199,337783,+,protein_coding,site-specific integrase
NC_013964.1,WP_004041251.1,HVO_RS01395,HVO_B0288,198,337368,337565,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041250.1,HVO_RS01400,HVO_B0289,1059,337707,338765,+,protein_coding,biotin synthase BioB
NC_013967.1,WP_144064037.1,HVO_RS20535,NA,318,337799,338116,-,protein_coding,hypothetical protein
NC_013967.1,WP_049941501.1,HVO_RS06530,HVO_0379A,516,338106,338621,-,protein_coding,hypothetical protein
NC_013967.1,WP_144064038.1,HVO_RS20540,HVO_0379B,600,338611,339210,-,protein_coding,hypothetical protein
NC_013966.1,WP_004043241.1,HVO_RS03320,HVO_A0328,957,338726,339682,+,protein_coding,2-dehydro-3-deoxygalactonokinase KdgK2
NC_013964.1,WP_004041249.1,HVO_RS01405,HVO_B0290,765,338888,339652,-,protein_coding,inositol monophosphatase family protein
NC_013967.1,WP_004044543.1,HVO_RS06535,HVO_0380,216,339578,339793,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041248.1,HVO_RS01410,HVO_B0291,678,339767,340444,+,protein_coding,glycerophosphodiester phosphodiesterase
NC_013966.1,WP_004043242.1,HVO_RS03325,HVO_A0329,648,339767,340414,-,protein_coding,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
NC_013967.1,WP_004044542.1,HVO_RS06540,HVO_0381,186,339904,340089,+,protein_coding,ribbon-helix-helix domain-containing protein
NC_013967.1,WP_004044541.1,HVO_RS06545,HVO_0382,234,340199,340432,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044540.1,HVO_RS06550,HVO_0383,192,340429,340620,+,protein_coding,sigma-70 region 4 domain-containing protein
NC_013966.1,WP_004043243.1,HVO_RS03330,HVO_A0330,1074,340496,341569,-,protein_coding,D-xylose 1-dehydrogenase Gfo6
NC_013964.1,WP_013034960.1,HVO_RS01415,HVO_B0292,1470,340588,342057,+,protein_coding,ABC transporter substrate-binding protein
NC_013967.1,WP_004044539.1,HVO_RS20840,HVO_0384,171,340617,340787,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044538.1,HVO_RS06555,HVO_0385,1002,340784,341785,+,protein_coding,site-specific integrase
NC_013966.1,WP_013035117.1,HVO_RS03335,HVO_A0331,1155,341689,342843,+,protein_coding,galactonate dehydratase
NC_013964.1,WP_004041246.1,HVO_RS01420,HVO_B0293,894,342080,342973,+,protein_coding,sugar ABC transporter permease
NC_013967.1,WP_004044537.1,HVO_RS06560,HVO_0386,375,342850,343224,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043245.1,HVO_RS03340,HVO_A0332,771,342911,343681,+,protein_coding,IclR family transcriptional regulator
NC_013964.1,WP_004041245.1,HVO_RS01425,HVO_B0294,867,342978,343844,+,protein_coding,carbohydrate ABC transporter permease
NC_013967.1,WP_013035451.1,HVO_RS06565,HVO_0387,240,343321,343560,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044535.1,HVO_RS06570,HVO_0388,1320,343699,345018,-,protein_coding,ribonuclease R
NC_013964.1,WP_004041244.1,HVO_RS01430,HVO_B0295,1134,343855,344988,+,protein_coding,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
NC_013966.1,WP_004043246.1,HVO_RS03345,HVO_A0333,597,344829,345425,+,protein_coding,SprT-like domain-containing protein
NC_013964.1,WP_004041243.1,HVO_RS01435,HVO_B0296,402,345036,345437,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044534.1,HVO_RS06575,HVO_0389,303,345139,345441,-,protein_coding,hypothetical protein
NC_013966.1,WP_004043247.1,HVO_RS03350,HVO_A0334,195,345455,345649,-,protein_coding,hypothetical protein
NC_013964.1,WP_013034998.1,HVO_RS01440,HVO_B0297,177,345549,345725,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044533.1,HVO_RS06580,HVO_0390,480,345603,346082,+,protein_coding,RNA-binding protein
NC_013966.1,WP_004043248.1,HVO_RS03355,HVO_A0335,690,346018,346707,+,protein_coding,DUF1028 domain-containing protein
NC_013967.1,WP_004044532.1,HVO_RS06585,HVO_0391,681,346125,346805,-,protein_coding,DUF1028 domain-containing protein
NC_013964.1,WP_004041241.1,HVO_RS01445,HVO_B0299,351,346327,346677,-,protein_coding,hydroxyisourate hydrolase
NC_013964.1,WP_004041240.1,HVO_RS01450,HVO_B0300,987,346679,347665,-,protein_coding,urate oxidase
NC_013966.1,WP_004043249.1,HVO_RS03360,HVO_A0336,2154,346747,348900,-,protein_coding,ABC transporter ATP-binding protein
NC_013967.1,WP_004044531.1,HVO_RS06590,HVO_0392,357,347026,347382,+,protein_coding,cell division protein SepF
NC_013967.1,WP_004044530.1,HVO_RS06595,HVO_0393,2952,347502,350453,+,protein_coding,excinuclease ABC subunit UvrA
NC_013964.1,WP_004041239.1,HVO_RS01455,HVO_B0301,507,347763,348269,-,protein_coding,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
NC_013964.1,WP_004041238.1,HVO_RS01460,HVO_B0302,1380,348353,349732,-,protein_coding,amidohydrolase family protein
NC_013966.1,WP_004043250.1,HVO_RS03365,HVO_A0337,900,348897,349796,-,protein_coding,ABC transporter permease
NC_013966.1,WP_004043251.1,HVO_RS03370,HVO_A0338,960,349796,350755,-,protein_coding,ABC transporter permease
NC_013964.1,WP_004041237.1,HVO_RS01465,HVO_B0303,1425,349819,351243,-,protein_coding,solute carrier family 23 protein
NC_013967.1,WP_004044529.1,HVO_RS06600,HVO_0394,417,350591,351007,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043252.1,HVO_RS03375,HVO_A0339,1674,350771,352444,-,protein_coding,ABC transporter substrate-binding protein
NC_013967.1,WP_004044528.1,HVO_RS06605,HVO_0395,1017,351178,352194,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041235.1,HVO_RS01470,HVO_B0305,417,351603,352019,-,protein_coding,DUF3830 family protein
NC_013964.1,WP_004041234.1,HVO_RS01475,HVO_B0306,1320,352046,353365,-,protein_coding,Zn-dependent hydrolase
NC_013967.1,WP_004044527.1,HVO_RS06610,HVO_0396,1083,352270,353352,+,protein_coding,geranylgeranyl reductase family protein
NC_013966.1,WP_004043253.1,HVO_RS03380,HVO_A0341,1248,352857,354104,+,protein_coding,Zn-dependent hydrolase
NC_013967.1,WP_004044526.1,HVO_RS06615,HVO_0397,1098,353383,354480,-,protein_coding,glycine cleavage T C-terminal barrel domain-containing protein
NC_013964.1,WP_004041233.1,HVO_RS01480,HVO_B0308,477,354289,354765,+,protein_coding,(2Fe-2S)-binding protein
NC_013966.1,WP_004043255.1,HVO_RS03390,HVO_A0342,816,354529,355344,+,protein_coding,IclR family transcriptional regulator
NC_013967.1,WP_004044525.1,HVO_RS06620,HVO_0398,300,354646,354945,-,protein_coding,DUF6432 family protein
NC_013964.1,WP_004041232.1,HVO_RS01485,HVO_B0309,2364,354767,357130,+,protein_coding,molybdopterin-dependent oxidoreductase
NC_013967.1,WP_004044524.1,HVO_RS06625,HVO_0399,1041,355050,356090,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044523.1,HVO_RS06630,HVO_0400,381,356161,356541,+,protein_coding,DUF5611 family protein
NC_013966.1,NA,HVO_RS03395,HVO_A0344,757,356250,357006,-,pseudogene,universal stress protein
NC_013967.1,WP_004044522.1,HVO_RS06635,HVO_0401,459,356734,357192,+,protein_coding,universal stress protein
NC_013966.1,NA,HVO_RS21230,NA,363,356999,357361,-,pseudogene,amino acid transporter
NC_013964.1,WP_004041231.1,HVO_RS01490,HVO_B0310,870,357127,357996,+,protein_coding,FAD binding domain-containing protein
NC_013967.1,WP_004044521.1,HVO_RS06640,HVO_0402,678,357270,357947,+,protein_coding,TIGR00266 family protein
NC_013966.1,WP_004043258.1,HVO_RS03405,HVO_A0346,1248,357800,359047,+,protein_coding,tyrosine-type recombinase/integrase
NC_013967.1,WP_004044520.1,HVO_RS06645,HVO_0403,969,358032,359000,+,protein_coding,ROK family protein
NC_013964.1,WP_013034981.1,HVO_RS01495,HVO_B0311,966,358112,359077,+,protein_coding,XdhC/CoxI family protein
NC_013964.1,WP_004041229.1,HVO_RS01500,HVO_B0313,585,359247,359831,+,protein_coding,nucleotidyltransferase family protein
NC_013966.1,NA,HVO_RS19915,HVO_A0348,1601,359324,360924,-,pseudogene,transposase
NC_013967.1,NA,HVO_RS21260,NA,62,360041,360102,+,pseudogene,hypothetical protein
NC_013964.1,WP_004041228.1,HVO_RS01505,HVO_B0314,993,360154,361146,-,protein_coding,ABC transporter permease
NC_013967.1,WP_004058105.1,HVO_RS21265,NA,333,361088,361420,+,protein_coding,NifU family protein
NC_013964.1,WP_004041227.1,HVO_RS01510,HVO_B0315,1143,361140,362282,-,protein_coding,glucose ABC transporter permease TsgB13
NC_013967.1,WP_004044518.1,HVO_RS06655,HVO_0406,1407,361646,363052,-,protein_coding,DUF402 domain-containing protein
NC_013966.1,WP_013035196.1,HVO_RS19920,HVO_A0349,1167,361704,362870,-,protein_coding,ISH3-like element ISHvo22 family transposase
NC_013964.1,WP_013034986.1,HVO_RS01515,HVO_B0316,1653,362279,363931,-,protein_coding,ABC transporter ATP-binding protein
NC_013966.1,WP_144064025.1,HVO_RS20495,HVO_A0350,642,363010,363651,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044517.1,HVO_RS06660,HVO_0407,375,363049,363423,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044516.1,HVO_RS06665,HVO_0408,1038,363561,364598,+,protein_coding,PrsW family intramembrane metalloprotease
NC_013966.1,WP_144064026.1,HVO_RS19930,HVO_A0351,774,363651,364424,+,protein_coding,hypothetical protein
NC_013964.1,WP_049914729.1,HVO_RS01520,HVO_B0317,1680,364128,365807,+,protein_coding,adenine deaminase
NC_013967.1,WP_004044515.1,HVO_RS06670,HVO_0409,612,364649,365260,-,protein_coding,riboflavin synthase
NC_013966.1,NA,HVO_RS19935,HVO_A0353,246,364986,365231,+,pseudogene,ISH3 family transposase
NC_013966.1,NA,HVO_RS03435,HVO_A0354,435,365276,365710,+,pseudogene,ISH3 family transposase
NC_013967.1,NA,HVO_RS06675,HVO_0410A,586,365370,365955,+,pseudogene,DUF502 domain-containing protein
NC_013966.1,WP_013035119.1,HVO_RS03440,HVO_A0355,1353,365782,367134,+,protein_coding,IS4-like element ISHvo11 family transposase
NC_013967.1,NA,HVO_RS06680,HVO_0412,1739,365957,367695,-,pseudogene,SLC13 family permease
NC_013964.1,WP_004041224.1,HVO_RS01525,HVO_B0318,1176,365977,367152,+,protein_coding,BMP family ABC transporter substrate-binding protein
NC_013966.1,NA,HVO_RS03445,HVO_A0356,1269,367149,368417,+,pseudogene,ATP-binding protein
NC_013964.1,WP_004041223.1,HVO_RS01530,HVO_B0319,795,367486,368280,+,protein_coding,IclR family transcriptional regulator
NC_013967.1,WP_004044511.1,HVO_RS06685,HVO_0413,243,367843,368085,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044510.1,HVO_RS06690,HVO_0414,1149,368086,369234,-,protein_coding,M24 family metallopeptidase
NC_013966.1,WP_004043265.1,HVO_RS03450,HVO_A0357,885,368414,369298,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041222.1,HVO_RS01535,HVO_B0320,768,368668,369435,-,protein_coding,IclR family transcriptional regulator
NC_013967.1,WP_004044509.1,HVO_RS06695,HVO_0415,1851,369241,371091,-,protein_coding,ATP-dependent helicase
NC_013966.1,WP_004043266.1,HVO_RS03455,HVO_A0358,1512,369295,370806,+,protein_coding,primase-associated protein
NC_013964.1,WP_004041221.1,HVO_RS01540,HVO_B0321,1107,369539,370645,-,protein_coding,Gfo/Idh/MocA family oxidoreductase
NC_013964.1,WP_004041220.1,HVO_RS01545,HVO_B0322,2100,370745,372844,-,protein_coding,hypothetical protein
NC_013966.1,WP_236995444.1,HVO_RS19940,HVO_A0359,339,371281,371619,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044507.1,HVO_RS06700,HVO_0417,1509,371518,373026,-,protein_coding,carboxypeptidase M32
NC_013966.1,WP_004043267.1,HVO_RS03460,HVO_A0360,315,371820,372134,-,protein_coding,hypothetical protein
NC_013966.1,WP_236995445.1,HVO_RS03465,HVO_A0361,645,372421,373065,+,protein_coding,twin-arginine translocation signal domain-containing protein
NC_013966.1,WP_013035210.1,HVO_RS03470,HVO_A0362,1179,373202,374380,-,protein_coding,PQQ-like beta-propeller repeat protein
NC_013964.1,WP_004041219.1,HVO_RS01550,HVO_B0323,1149,373220,374368,+,protein_coding,Gfo/Idh/MocA family oxidoreductase
NC_013967.1,WP_004044506.1,HVO_RS06705,HVO_0418,1497,373221,374717,-,protein_coding,HNH endonuclease
NC_013964.1,WP_004041218.1,HVO_RS01555,HVO_B0324,1377,374393,375769,+,protein_coding,DUF362 domain-containing protein
NC_013966.1,WP_004043270.1,HVO_RS03475,HVO_A0363,408,374510,374917,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044505.1,HVO_RS06710,HVO_0419,1095,374824,375918,-,protein_coding,M20/M25/M40 family metallo-hydrolase
NC_013966.1,WP_013035046.1,HVO_RS03480,HVO_A0364,1167,375384,376550,+,protein_coding,ISH3-like element ISHvo20 family transposase
NC_013964.1,WP_049914710.1,HVO_RS01560,HVO_B0325,1539,375818,377356,-,protein_coding,glycoside hydrolase family 28 protein
NC_013967.1,WP_004044504.1,HVO_RS06715,HVO_0420,1632,376085,377716,+,protein_coding,methyl-accepting chemotaxis protein
NC_013966.1,WP_144064027.1,HVO_RS19945,HVO_A0365,837,376763,377599,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041216.1,HVO_RS01565,HVO_B0326,987,377474,378460,-,protein_coding,alpha/beta hydrolase family protein
NC_013966.1,WP_049914852.1,HVO_RS03485,HVO_A0366,231,377660,377890,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044503.1,HVO_RS06720,HVO_0421,1881,377834,379714,+,protein_coding,PINc/VapC family ATPase
NC_013966.1,WP_013035191.1,HVO_RS03490,HVO_A0367,1167,378291,379457,-,protein_coding,ISH3 family transposase
NC_013964.1,WP_229722663.1,HVO_RS01570,HVO_B0327,243,378951,379193,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041214.1,HVO_RS01575,HVO_B0328,2097,379348,381444,+,protein_coding,ABC transporter substrate-binding protein
NC_013966.1,WP_049914854.1,HVO_RS03495,HVO_A0368,285,379569,379853,-,protein_coding,type II toxin-antitoxin system RelE/ParE family toxin
NC_013967.1,WP_004044502.1,HVO_RS06725,HVO_0422,294,379829,380122,-,protein_coding,helix-turn-helix domain-containing protein
NC_013966.1,WP_013035021.1,HVO_RS03500,HVO_A0369,297,379843,380139,-,protein_coding,ribbon-helix-helix domain-containing protein
NC_013967.1,WP_004044501.1,HVO_RS06730,HVO_0423,315,380247,380561,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043273.1,HVO_RS03505,HVO_A0371,495,380521,381015,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044500.1,HVO_RS06735,HVO_0424,1815,380564,382378,+,protein_coding,ribosome biogenesis/translation initiation ATPase RLI
NC_013966.1,WP_004043274.1,HVO_RS19950,HVO_A0372,1701,381083,382783,-,protein_coding,MBL fold metallo-hydrolase
NC_013964.1,WP_004041213.1,HVO_RS01580,HVO_B0329,2127,381652,383778,+,protein_coding,ABC transporter permease subunit
NC_013967.1,WP_004044499.1,HVO_RS06740,HVO_0425,942,382515,383456,+,protein_coding,VOC family protein
NC_013966.1,WP_004043275.1,HVO_RS03515,HVO_A0374,897,383462,384358,+,protein_coding,hypothetical protein
NC_013967.1,WP_013035599.1,HVO_RS06745,HVO_0426,483,383511,383993,+,protein_coding,YbhB/YbcL family Raf kinase inhibitor-like protein
NC_013964.1,WP_004041212.1,HVO_RS01585,HVO_B0330,219,384012,384230,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044497.1,HVO_RS06750,HVO_0427,1059,384018,385076,-,protein_coding,RNA 3'-terminal phosphate cyclase
NC_013964.1,WP_004041211.1,HVO_RS01590,HVO_B0331,1062,384446,385507,+,protein_coding,ABC transporter ATP-binding protein
NC_013966.1,NA,HVO_RS03520,HVO_A0375,573,384558,385130,+,pseudogene,transcription initiation factor IIB family protein
NC_013967.1,WP_004044496.1,HVO_RS06755,HVO_0428,450,385077,385526,-,protein_coding,universal stress protein
NC_013966.1,WP_004043277.1,HVO_RS03525,HVO_A0376,1104,385336,386439,-,protein_coding,Xaa-Pro peptidase family protein
NC_013964.1,WP_004041210.1,HVO_RS01595,HVO_B0332,1116,385504,386619,+,protein_coding,ABC transporter ATP-binding protein
NC_013967.1,WP_004044495.1,HVO_RS06760,HVO_0429,522,385608,386129,-,protein_coding,archaemetzincin family Zn-dependent metalloprotease
NC_013967.1,WP_004044494.1,HVO_RS06765,HVO_0430,453,386169,386621,+,protein_coding,UPF0146 family protein
NC_013966.1,WP_004043278.1,HVO_RS03530,HVO_A0377,783,386436,387218,-,protein_coding,aspartate/glutamate racemase family protein
NC_013967.1,WP_004044493.1,HVO_RS06770,HVO_0431,855,386653,387507,+,protein_coding,TIGR01548 family HAD-type hydrolase
NC_013964.1,WP_004041209.1,HVO_RS01600,HVO_B0333,1119,386757,387875,-,protein_coding,Gfo/Idh/MocA family oxidoreductase
NC_013966.1,WP_004043279.1,HVO_RS03535,HVO_A0378,1776,387218,388993,-,protein_coding,hydantoinase B/oxoprolinase family protein
NC_013967.1,WP_004044492.1,HVO_RS06775,HVO_0432,216,387557,387772,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044491.1,HVO_RS06780,HVO_0433,669,387864,388532,+,protein_coding,NADPH-dependent F420 reductase
NC_013964.1,WP_004041208.1,HVO_RS01605,HVO_B0334,1035,387954,388988,-,protein_coding,Gfo/Idh/MocA family oxidoreductase
NC_013967.1,WP_004044490.1,HVO_RS06785,HVO_0434,1254,388563,389816,-,protein_coding,MFS transporter
NC_013966.1,WP_013035057.1,HVO_RS03540,HVO_A0379,2046,388990,391035,-,protein_coding,hydantoinase/oxoprolinase family protein
NC_013964.1,WP_013034993.1,HVO_RS01610,HVO_B0335,1245,389121,390365,-,protein_coding,MFS transporter
NC_013967.1,WP_004044489.1,HVO_RS06790,HVO_0435,303,390051,390353,-,protein_coding,phosphoribosyl-ATP diphosphatase
NC_013967.1,WP_004044488.1,HVO_RS06795,HVO_0436,609,390432,391040,-,protein_coding,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
NC_013964.1,WP_236995441.1,HVO_RS21160,NA,444,390456,390899,-,protein_coding,UxaA family hydrolase
NC_013967.1,WP_004044487.1,HVO_RS06800,HVO_0437,165,391096,391260,-,protein_coding,preprotein translocase subunit Sec61beta
NC_013964.1,NA,HVO_RS21165,NA,120,391113,391232,-,pseudogene,altronate dehydratase
